rank,asc,slots,risk,gross,n,cagr,dd,dd_intraday,final_x,wiped
none,False,5,0.05,4.0,300,0.16579083008070472,-0.5876055205529136,-0.5945351072696969,9.340151981893126,False
none,False,5,0.1,1.0,294,0.06469709746246188,-0.5273734311150013,-0.5315978817036142,2.4920553327473614,False
none,False,5,0.1,2.0,295,0.14147430726583687,-0.5053740850797241,-0.5114965546615231,6.870927757231083,False
none,False,5,0.1,3.0,300,0.17299005517173272,-0.5269367812996117,-0.5332141617693107,10.216385985396773,False
none,False,5,0.1,4.0,300,0.17790522430074507,-0.5595964302551895,-0.5714844045404315,10.857960519734114,False
none,False,5,0.2,1.0,294,0.06469709746246188,-0.5273734311150013,-0.5315978817036142,2.4920553327473614,False
none,False,5,0.2,2.0,295,0.14147430726583687,-0.5053740850797241,-0.5114965546615231,6.870927757231083,False
none,False,5,0.2,3.0,300,0.17299005517173272,-0.5269367812996117,-0.5332141617693107,10.216385985396773,False
none,False,5,0.2,4.0,300,0.17790522430074507,-0.5595964302551895,-0.5714844045404315,10.857960519734114,False
none,False,5,0.3,1.0,294,0.06469709746246188,-0.5273734311150013,-0.5315978817036142,2.4920553327473614,False
none,False,5,0.3,2.0,295,0.14147430726583687,-0.5053740850797241,-0.5114965546615231,6.870927757231083,False
none,False,5,0.3,3.0,300,0.17299005517173272,-0.5269367812996117,-0.5332141617693107,10.216385985396773,False
none,False,5,0.3,4.0,300,0.17790522430074507,-0.5595964302551895,-0.5714844045404315,10.857960519734114,False
none,False,10,0.05,1.0,500,0.06441556029864182,-0.3961467984503063,-0.3990509611537393,2.4824743515173475,False
none,False,10,0.05,2.0,553,0.06739130332903365,-0.7047483228392379,-0.7103512729843351,2.5854996306241986,False
none,False,10,0.05,3.0,580,0.18083764380866207,-0.6196627715303688,-0.6369240081517571,11.258396656207507,False
none,False,10,0.05,4.0,580,0.20516415707481994,-0.6368033111114884,-0.6580430155465309,15.151920396946823,False
none,False,10,0.1,1.0,500,0.06441556029864182,-0.3961467984503063,-0.3990509611537393,2.4824743515173475,False
none,False,10,0.1,2.0,553,0.06739130332903365,-0.7047483228392379,-0.7103512729843351,2.5854996306241986,False
none,False,10,0.1,3.0,580,0.18083764380866207,-0.6196627715303688,-0.6369240081517571,11.258396656207507,False
none,False,10,0.1,4.0,580,0.20516415707481994,-0.6368033111114884,-0.6580430155465309,15.151920396946823,False
