rank,asc,slots,risk,gross,n,cagr,dd,dd_intraday,final_x,wiped
atr_pct,False,20,0.2,16.0,123,-1.0,-1.0,-1.0447285447814096,0.0,True
atr_pct,False,20,0.2,24.0,32,-1.0,-1.0,-1.0979843053057572,0.0,True
atr_pct,True,10,0.2,1.0,423,0.06757578032944433,-0.28457940220532507,-0.2738134150405508,2.5920158189547626,False
atr_pct,True,10,0.2,2.0,422,0.0937301499626948,-0.6765084530494019,-0.6863341752109557,3.687576852067177,False
atr_pct,True,10,0.2,4.0,455,-0.06915136631763064,-0.9806326429093065,-0.9808855752761463,0.35213743353494925,False
atr_pct,True,10,0.2,6.0,193,-1.0,-1.0,-1.0020974999033123,0.0,True
atr_pct,True,10,0.2,8.0,189,-1.0,-1.0,-1.0017992579448516,0.0,True
atr_pct,True,10,0.2,12.0,79,-1.0,-1.0,-1.1282445503161815,0.0,True
atr_pct,True,10,0.2,16.0,80,-1.0,-1.0,-1.0,0.0,True
atr_pct,True,10,0.2,24.0,56,-1.0,-1.0,-1.004470472046523,0.0,True
atr_pct,True,20,0.2,1.0,944,0.03818324663971984,-0.3007950288335778,-0.30327788381502696,1.725984959358793,False
atr_pct,True,20,0.2,2.0,963,-0.02181221631949637,-0.7704332148006071,-0.7773152066310631,0.7252643686759938,False
atr_pct,True,20,0.2,4.0,957,-0.12157801240931243,-0.9679908047019733,-0.9689984871610389,0.1513618625805126,True
atr_pct,True,20,0.2,6.0,568,-1.0,-1.0,-1.0003432091129538,0.0,True
atr_pct,True,20,0.2,8.0,436,-1.0,-1.0,-1.0763165807844026,0.0,True
atr_pct,True,20,0.2,12.0,147,-1.0,-1.0,-1.0,0.0,True
atr_pct,True,20,0.2,16.0,140,-1.0,-1.0,-1.0,0.0,True
atr_pct,True,20,0.2,24.0,122,-1.0,-1.0,-1.1168657690574013,0.0,True
rsi2,False,10,0.2,1.0,474,0.08538783693814156,-0.33155545310193457,-0.33525448065771946,3.2984342740353125,False
rsi2,False,10,0.2,2.0,460,0.08022335536918801,-0.7155031021073592,-0.7158676904160308,3.0770695705200657,False
rsi2,False,10,0.2,4.0,460,-0.020039978470108855,-0.9792041324793027,-0.9792363564301125,0.7446402769592034,False
rsi2,False,10,0.2,6.0,211,-1.0,-1.0,-1.0,0.0,True
rsi2,False,10,0.2,8.0,215,-1.0,-1.0,-1.01403627499543,0.0,True
rsi2,False,10,0.2,12.0,73,-1.0,-1.0,-1.0,0.0,True
rsi2,False,10,0.2,16.0,63,-1.0,-1.0,-1.0273167558802032,0.0,True
rsi2,False,10,0.2,24.0,33,-1.0,-1.0,-1.0521592353409626,0.0,True
rsi2,False,20,0.2,1.0,921,0.06372975342934373,-0.30079427050689267,-0.29817075009295224,2.45927905889383,False
rsi2,False,20,0.2,2.0,931,0.029350574118072625,-0.6598194636573051,-0.6569310328311251,1.5240149471351798,False
rsi2,False,20,0.2,4.0,967,0.04055081552577766,-0.8879687518707948,-0.8888924792761332,1.784210939037317,False
rsi2,False,20,0.2,6.0,468,-1.0,-1.0,-1.0,0.0,True
rsi2,False,20,0.2,8.0,443,-1.0,-1.0,-1.0,0.0,True
rsi2,False,20,0.2,12.0,152,-1.0,-1.0,-1.066896262791766,0.0,True
rsi2,False,20,0.2,16.0,152,-1.0,-1.0,-1.0772028046158129,0.0,True
rsi2,False,20,0.2,24.0,32,-1.0,-1.0,-1.0124622150094533,0.0,True
rsi2,True,10,0.2,1.0,491,0.04985960948683443,-0.4067877818491814,-0.4009037775624257,2.031346779669402,False
rsi2,True,10,0.2,2.0,479,0.05597150148603891,-0.641299589264458,-0.64576549004223,2.210563117515785,False
rsi2,True,10,0.2,4.0,483,-0.22177353152494006,-0.9942122339908216,-0.9941613074770925,0.025936954479562572,True
rsi2,True,10,0.2,6.0,337,-1.0,-1.0,-1.004653366231335,0.0,True
rsi2,True,10,0.2,8.0,68,-1.0,-1.0,-1.0015909088101265,0.0,True
rsi2,True,10,0.2,12.0,51,-1.0,-1.0,-1.0,0.0,True
rsi2,True,10,0.2,16.0,51,-1.0,-1.0,-1.1333463234841166,0.0,True
rsi2,True,10,0.2,24.0,45,-1.0,-1.0,-1.0126663928020223,0.0,True
rsi2,True,20,0.2,1.0,993,0.06348220410912675,-0.30358018725607394,-0.31265508600536673,2.4509561668050477,False
rsi2,True,20,0.2,2.0,1017,0.07071258417223314,-0.548176375973586,-0.5501902849389262,2.7051836652746504,False
rsi2,True,20,0.2,4.0,1000,-0.056720945048912896,-0.9473944102292433,-0.9511707595574763,0.4271939555100086,False
rsi2,True,20,0.2,6.0,553,-1.0,-1.0,-1.0,0.0,True
rsi2,True,20,0.2,8.0,212,-1.0,-1.0,-1.069105632660971,0.0,True
rsi2,True,20,0.2,12.0,212,-1.0,-1.0,-1.0200935690908228,0.0,True
rsi2,True,20,0.2,16.0,118,-1.0,-1.0,-1.0368972126069909,0.0,True
rsi2,True,20,0.2,24.0,31,-1.0,-1.0,-1.0040136075206116,0.0,True
dist_hh60,False,10,0.2,1.0,539,0.06980081682996642,-0.39074787624738194,-0.3844873239942208,2.6718239302009414,False
dist_hh60,False,10,0.2,2.0,539,0.04236700872858745,-0.74090179634656,-0.7363817170633973,1.83011117661191,False
dist_hh60,False,10,0.2,4.0,553,-0.01563346025495449,-0.9720982884826399,-0.972317084551426,0.7949263824383173,False
dist_hh60,False,10,0.2,6.0,321,-1.0,-1.0,-1.0,0.0,True
dist_hh60,False,10,0.2,8.0,253,-1.0,-1.0,-1.0,0.0,True
dist_hh60,False,10,0.2,12.0,94,-1.0,-1.0,-1.0185287421013334,0.0,True
dist_hh60,False,10,0.2,16.0,96,-1.0,-1.0,-1.1257317458987897,0.0,True
dist_hh60,False,10,0.2,24.0,76,-1.0,-1.0,-1.1317951637057602,0.0,True
