rank,asc,slots,risk,gross,n,cagr,dd,dd_intraday,final_x,wiped
ret126,False,3,0.3,2.0,235,0.023490331513532192,-0.8303894031115464,-0.830080507605642,1.4024049306501989,False
ret126,False,3,0.3,3.0,240,-0.14635051764114881,-0.989023611628731,-0.9887938979987542,0.09978423618118325,True
ret126,False,5,0.05,1.0,346,0.047866920959613646,-0.5276755199197937,-0.5268572346427569,1.9759057751787796,False
ret126,False,5,0.05,2.0,368,0.015005693073635973,-0.7985964358734585,-0.8005344700510916,1.2422693016402098,False
ret126,False,5,0.05,3.0,379,-0.022912832959708695,-0.9097817807047417,-0.9083904461981402,0.713468764084249,False
ret126,False,5,0.1,1.0,351,0.06114598781725267,-0.5221423441948654,-0.5268572346427569,2.373691635370162,False
ret126,False,5,0.1,2.0,362,0.01590861549729583,-0.8188625594647901,-0.8162165617936934,1.2584628259956576,False
ret126,False,5,0.1,3.0,371,-0.10223925330637784,-0.9707248374675059,-0.9700469073984559,0.20785820386109896,False
ret126,False,5,0.2,1.0,351,0.06114598781725267,-0.5221423441948654,-0.5268572346427569,2.373691635370162,False
ret126,False,5,0.2,2.0,362,0.01590861549729583,-0.8188625594647901,-0.8162165617936934,1.2584628259956576,False
ret126,False,5,0.2,3.0,373,-0.10951777435851551,-0.9734449510149409,-0.9728119550416904,0.1846177252146621,False
ret126,False,5,0.3,1.0,351,0.06114598781725267,-0.5221423441948654,-0.5268572346427569,2.373691635370162,False
ret126,False,5,0.3,2.0,362,0.01590861549729583,-0.8188625594647901,-0.8162165617936934,1.2584628259956576,False
ret126,False,5,0.3,3.0,373,-0.10951777435851551,-0.9734449510149409,-0.9728119550416904,0.1846177252146621,False
ret126,True,1,0.05,1.0,108,0.06783211836919967,-0.3742570238713877,-0.37057891741309146,2.601095714059779,False
ret126,True,1,0.05,2.0,108,0.046910662437496864,-0.45929030680123784,-0.45415681241522965,1.9498039651667514,False
ret126,True,1,0.05,3.0,108,0.04557399028547704,-0.46154074140856705,-0.4564286126343986,1.9138563166302416,False
ret126,True,1,0.1,1.0,108,0.08542916077963758,-0.4611121038097469,-0.4577006451963216,3.3002638781691216,False
ret126,True,1,0.1,2.0,108,0.040163354855191624,-0.6686810745798946,-0.6622814079152164,1.7745585369353567,False
ret126,True,1,0.1,3.0,108,0.002717610072923593,-0.7932330112747253,-0.7944129720154286,1.0403209772982898,False
ret126,True,1,0.2,1.0,108,0.08426125951388697,-0.4818730841534308,-0.4788553087182994,3.2489177214820124,False
ret126,True,1,0.2,2.0,108,0.04848437593189159,-0.7738634198656985,-0.7721608964006659,1.9929321957129296,False
ret126,True,1,0.2,3.0,108,-0.030985781710880178,-0.9372860177143478,-0.9379830422605654,0.6322569636985983,False
ret126,True,1,0.3,1.0,108,0.08426125951388697,-0.4818730841534308,-0.4788553087182994,3.2489177214820124,False
ret126,True,1,0.3,2.0,108,0.037503914463000054,-0.8234577962805902,-0.8264037386866134,1.7096077428077685,False
