rank,asc,slots,risk,max_gross,n,all_cagr,all_dd,all_mar,all_dd_intraday,train_cagr,train_dd,train_mar,valid_cagr,valid_dd,valid_mar,hold_cagr,hold_dd,hold_mar,worst_year,neg_years,years,avg_r,win
ret252,False,10,0.01,1.0,760,0.03595437730632178,-0.392366915265579,0.09163457954141103,-0.39066808369733697,0.06132210107692959,-0.26263081789240383,0.23349164263750796,-0.007692892277183505,-0.23599676471732822,-0.03259744804721321,0.042669467002637296,-0.20164578538323874,0.2116060443392936,-0.13613138851603468,7,"{""2011"": 0.0, ""2012"": 0.0125, ""2013"": 0.3921, ""2014"": 0.0654, ""2015"": -0.0761, ""2016"": 0.0578, ""2017"": 0.1959, ""2018"": -0.1361, ""2019"": 0.1265, ""2020"": -0.0052, ""2021"": -0.0127, ""2022"": -0.1275, ""2023"": -0.0961, ""2024"": 0.281, ""2025"": 0.0344, ""2026"": -0.0309}",0.11596941070672996,0.3907894736842105
ret252,False,10,0.02,1.0,730,0.051475617729224155,-0.365004162587783,0.14102748134233767,-0.3566169603933401,0.08490663444831847,-0.29708508200566763,0.28579905081433427,0.03230287130050513,-0.2535995345368962,0.12737748655372783,0.01761209670974595,-0.20889756692000327,0.08430972638609263,-0.14723864843601397,6,"{""2011"": 0.0, ""2012"": 0.0029, ""2013"": 0.3648, ""2014"": 0.0842, ""2015"": -0.1315, ""2016"": 0.0439, ""2017"": 0.3916, ""2018"": -0.0558, ""2019"": 0.1647, ""2020"": 0.0955, ""2021"": -0.0915, ""2022"": -0.0267, ""2023"": -0.1472, ""2024"": 0.2703, ""2025"": 0.031, ""2026"": -0.0471}",0.14816619020219035,0.39863013698630134
ret252,False,10,0.05,1.0,730,0.051475617729224155,-0.365004162587783,0.14102748134233767,-0.3566169603933401,0.08490663444831847,-0.29708508200566763,0.28579905081433427,0.03230287130050513,-0.2535995345368962,0.12737748655372783,0.01761209670974595,-0.20889756692000327,0.08430972638609263,-0.14723864843601397,6,"{""2011"": 0.0, ""2012"": 0.0029, ""2013"": 0.3648, ""2014"": 0.0842, ""2015"": -0.1315, ""2016"": 0.0439, ""2017"": 0.3916, ""2018"": -0.0558, ""2019"": 0.1647, ""2020"": 0.0955, ""2021"": -0.0915, ""2022"": -0.0267, ""2023"": -0.1472, ""2024"": 0.2703, ""2025"": 0.031, ""2026"": -0.0471}",0.14816619020219035,0.39863013698630134
ret252,False,15,0.005,1.0,1127,0.03948221141138952,-0.26453755184297956,0.14924993119625155,-0.26655356937569974,0.046889190303406325,-0.23077608576667696,0.20318045584156846,0.025582288233380934,-0.18001655582544318,0.1421107526253715,0.046613305714427344,-0.1481276128795206,0.3146834328069556,-0.11244459913641136,6,"{""2011"": 0.0, ""2012"": 0.0227, ""2013"": 0.2935, ""2014"": 0.0037, ""2015"": -0.0512, ""2016"": 0.0324, ""2017"": 0.1937, ""2018"": -0.1124, ""2019"": 0.1071, ""2020"": -0.008, ""2021"": 0.0739, ""2022"": -0.0648, ""2023"": -0.0384, ""2024"": 0.1541, ""2025"": 0.1003, ""2026"": -0.0365}",0.13527161439291768,0.3966282165039929
ret252,False,15,0.01,1.0,1094,0.054366620766250096,-0.4312037329584295,0.12608105313293136,-0.4289596754519095,0.06911342201988413,-0.32155770980653164,0.21493318279156454,0.0014219921367197852,-0.263118808827297,0.005404372811877302,0.09587540910151438,-0.21009301612137288,0.45634743539559725,-0.13748958042369697,6,"{""2011"": 0.0, ""2012"": 0.0756, ""2013"": 0.4257, ""2014"": 0.0681, ""2015"": -0.092, ""2016"": 0.0118, ""2017"": 0.2294, ""2018"": -0.1375, ""2019"": 0.2604, ""2020"": -0.0956, ""2021"": -0.0117, ""2022"": -0.1121, ""2023"": -0.1369, ""2024"": 0.3824, ""2025"": 0.1414, ""2026"": 0.0176}",0.14558408395338404,0.4012797074954296
ret252,False,15,0.02,1.0,1092,0.0495052426839071,-0.4687594275841378,0.10560906036395692,-0.4666634925207933,0.0691270981647698,-0.32155770980680876,0.21497571371030486,-0.015658993650262576,-0.3022436338978398,-0.05180917608857036,0.09565213493388391,-0.20980318956144495,0.4559136356974703,-0.13748958039452963,6,"{""2011"": 0.0, ""2012"": 0.0756, ""2013"": 0.4257, ""2014"": 0.0681, ""2015"": -0.092, ""2016"": 0.0119, ""2017"": 0.2294, ""2018"": -0.1375, ""2019"": 0.1852, ""2020"": -0.1019, ""2021"": -0.0118, ""2022"": -0.1121, ""2023"": -0.1365, ""2024"": 0.3817, ""2025"": 0.1414, ""2026"": 0.017}",0.1357111293830289,0.3983516483516483
ret252,False,15,0.05,1.0,1092,0.0495052426839071,-0.4687594275841378,0.10560906036395692,-0.4666634925207933,0.0691270981647698,-0.32155770980680876,0.21497571371030486,-0.015658993650262576,-0.3022436338978398,-0.05180917608857036,0.09565213493388391,-0.20980318956144495,0.4559136356974703,-0.13748958039452963,6,"{""2011"": 0.0, ""2012"": 0.0756, ""2013"": 0.4257, ""2014"": 0.0681, ""2015"": -0.092, ""2016"": 0.0119, ""2017"": 0.2294, ""2018"": -0.1375, ""2019"": 0.1852, ""2020"": -0.1019, ""2021"": -0.0118, ""2022"": -0.1121, ""2023"": -0.1365, ""2024"": 0.3817, ""2025"": 0.1414, ""2026"": 0.017}",0.1357111293830289,0.3983516483516483
ret252,False,20,0.005,1.0,1525,0.03666927243938667,-0.4031744450502005,0.09095138069780406,-0.4003128939002544,0.05191624092167846,-0.27923798927063204,0.18592112433298696,-0.018490612586165578,-0.24230092350498633,-0.07631259641395902,0.07666050074376196,-0.1893234078039051,0.40491823823055395,-0.15890758072940114,7,"{""2011"": 0.0, ""2012"": 0.0581, ""2013"": 0.3896, ""2014"": 0.0009, ""2015"": -0.0729, ""2016"": -0.0135, ""2017"": 0.2108, ""2018"": -0.1258, ""2019"": 0.1111, ""2020"": -0.0263, ""2021"": 0.0173, ""2022"": -0.1589, ""2023"": -0.0518, ""2024"": 0.2611, ""2025"": 0.1195, ""2026"": -0.028}",0.11473350622833375,0.39147540983606555
ret252,False,20,0.01,1.0,1449,0.03730905834271425,-0.49203524391071307,0.07582598767962345,-0.4888472253274002,0.06262346853909206,-0.29195488966958827,0.21449707045483776,-0.04670878506894116,-0.32301507572416777,-0.1446024925128485,0.09380898569200413,-0.18760066072117043,0.5000461369985886,-0.15655841745818033,6,"{""2011"": 0.0, ""2012"": 0.1041, ""2013"": 0.3673, ""2014"": 0.0305, ""2015"": -0.0789, ""2016"": 0.0241, ""2017"": 0.1416, ""2018"": -0.0872, ""2019"": 0.1037, ""2020"": -0.0377, ""2021"": -0.0815, ""2022"": -0.1566, ""2023"": -0.0723, ""2024"": 0.246, ""2025"": 0.1275, ""2026"": 0.0563}",0.1191000831359483,0.39268461007591443
ret252,False,20,0.02,1.0,1449,0.03730905834271425,-0.49203524391071307,0.07582598767962345,-0.4888472253274002,0.06262346853909206,-0.29195488966958827,0.21449707045483776,-0.04670878506894116,-0.32301507572416777,-0.1446024925128485,0.09380898569200413,-0.18760066072117043,0.5000461369985886,-0.15655841745818033,6,"{""2011"": 0.0, ""2012"": 0.1041, ""2013"": 0.3673, ""2014"": 0.0305, ""2015"": -0.0789, ""2016"": 0.0241, ""2017"": 0.1416, ""2018"": -0.0872, ""2019"": 0.1037, ""2020"": -0.0377, ""2021"": -0.0815, ""2022"": -0.1566, ""2023"": -0.0723, ""2024"": 0.246, ""2025"": 0.1275, ""2026"": 0.0563}",0.1191000831359483,0.39268461007591443
