trail,stop,buf,positions,raw,train_n,train_win,train_avg,train_cagr,train_mdd,train_multiple,validation_n,validation_win,validation_avg,validation_cagr,validation_mdd,validation_multiple,holdout_n,holdout_win,holdout_avg,holdout_cagr,holdout_mdd,holdout_multiple
20,40,0.5,3,181,65,0.4461538461538462,0.009242853290672415,0.039913624653985735,-0.12243188073084421,1.2016076290009825,19,0.21052631578947367,-0.009715387565987063,-0.028924513366477056,-0.16325170524780208,0.9345761595620281,11,0.2727272727272727,-0.03171265880460714,-0.10843919887835074,-0.09727261848786573,0.8888332517038232
10,40,0.5,3,181,75,0.49333333333333335,0.010076990490029738,0.05166825865592095,-0.13935887730230245,1.2666889060250377,19,0.5263157894736842,-0.008950021997833627,-0.02498761291187579,-0.05829592391959282,0.9438567690747199,12,0.25,-0.030387708721414598,-0.11298440285857092,-0.10702078036443263,0.884181311237871
10,40,1.0,3,134,62,0.532258064516129,0.012208220530171152,0.05358076516244181,-0.1814062761629559,1.2706164666107516,10,0.7,0.0050040774097234175,0.010817408300383136,-0.01800874668814534,1.0164832359983595,12,0.16666666666666666,-0.03273036207888367,-0.12101336403194374,-0.11531848307266823,0.8759653600718137
20,20,0.5,3,451,90,0.45555555555555555,0.012782050508569025,0.07792937525911126,-0.1392609794418983,1.4221184177190083,38,0.3157894736842105,0.014372123936800783,0.07065507843484808,-0.13707123764274842,1.1704430875438627,29,0.27586206896551724,-0.02090011395703257,-0.13366501060343183,-0.21283698862791534,0.811404040295954
20,20,0.25,3,474,91,0.43956043956043955,0.010354843867314624,0.06130424046449168,-0.16791930324554183,1.3220816654643903,39,0.3076923076923077,0.01852975206415276,0.09659655988761928,-0.13707123764274842,1.2368552692444696,29,0.27586206896551724,-0.02150198586110761,-0.13712577939054738,-0.2174128865614835,0.8066872255858634
20,40,0.25,3,211,71,0.4084507042253521,0.005136767712618319,0.021953149467678346,-0.14804607792338342,1.107277731616299,23,0.2608695652173913,0.009428363220894643,0.02675990847855103,-0.1702108315240708,1.0627691059295956,13,0.23076923076923078,-0.03471439951666033,-0.13786735805184913,-0.12785112952233435,0.8587253830918168
20,40,1.0,2,134,41,0.43902439024390244,0.00958135677887869,0.03958472861784457,-0.17270344434587237,1.1949890776450736,9,0.3333333333333333,0.011229242673186195,0.028318816117125722,-0.10699126806088821,1.0439841021407932,9,0.2222222222222222,-0.03429368756794639,-0.1420442326480219,-0.1253528558203122,0.8544542356561674
10,40,0.25,3,211,80,0.45,0.006637885607614373,0.03471047865407373,-0.17156908754955758,1.1736539172170277,25,0.52,-0.0058134694379293975,-0.021900524136809207,-0.06075226274496848,0.9506943523917817,14,0.21428571428571427,-0.033364317965920064,-0.14226253638486952,-0.13726908730670973,0.854231020002804
20,20,1.0,3,387,86,0.4069767441860465,0.00827423633908229,0.04693101821173018,-0.13844297863752053,1.234231988819997,32,0.375,0.02462881283359454,0.15841775111229972,-0.13707123764274864,1.2742708429721912,28,0.21428571428571427,-0.021940754540144155,-0.14273522432846308,-0.21098214546861527,0.8095734844060739
10,40,1.0,2,134,48,0.5625,0.012402962850197471,0.06306843440712506,-0.1802902473762673,1.323975152024269,9,0.7777777777777778,0.007033753064684924,0.020561897949313845,-0.027013120032218008,1.0314102810699932,10,0.2,-0.03244564459178141,-0.14858088823283755,-0.13951214846193927,0.8477711615042457
20,20,0.5,2,451,62,0.46774193548387094,0.0192775693033629,0.12152413636417858,-0.1842333263548307,1.712914750085433,27,0.2962962962962963,0.016125164508530142,0.0815974338685792,-0.13556798708357398,1.198203349301923,22,0.2727272727272727,-0.02021249774278058,-0.14874457108867145,-0.23233369564647222,0.7909147509990843
20,20,0.25,2,474,63,0.4603174603174603,0.016359784491063022,0.10119762793098341,-0.18592992589157276,1.5720275220965516,28,0.2857142857142857,0.0208567007134371,0.11329356904591381,-0.1355679870835742,1.2807016258963206,22,0.2727272727272727,-0.021422979989088545,-0.1562692683178719,-0.24219749915666733,0.7807522264061367
20,20,1.0,2,387,60,0.4166666666666667,0.015212681323215358,0.0932455198501434,-0.1364840701094968,1.5054333582035784,22,0.36363636363636365,0.03132998611761622,0.2060454232024127,-0.1355679870835741,1.3617659400149693,21,0.19047619047619047,-0.021683603317082228,-0.16023645030811884,-0.23084673982891102,0.7869895614272088
20,40,0.5,2,181,46,0.5,0.014540367869113427,0.06749276673397553,-0.09714882573782091,1.35864966088291,15,0.2,8.253421985808807e-05,-0.00482180444196223,-0.15265840686369236,0.9889193992816336,10,0.2,-0.037179727362517435,-0.16844250516545745,-0.1529716260892121,0.8274730977230994
10,20,0.5,3,451,120,0.4166666666666667,0.005283075229056545,0.03977281320802817,-0.18281667308100402,1.200844293637021,51,0.45098039215686275,-0.0005980572017087035,-0.007106403494996694,-0.10594287575592498,0.9836937423647042,33,0.24242424242424243,-0.024702584022053664,-0.17326646678399216,-0.23476715924705693,0.7583438051596436
10,40,0.5,2,181,55,0.509090909090909,0.009202532624883132,0.050449949505360525,-0.10535294457580735,1.259817583070993,16,0.625,-0.0042951374821740065,-0.015699833322893708,-0.05530683777710499,0.9645121223307129,11,0.18181818181818182,-0.03523732103922463,-0.1747780356782741,-0.1666838101416881,0.82100105528942
10,10,0.25,3,720,151,0.4105960264900662,-0.001471913039885065,-0.023608572693334717,-0.26182911355037497,0.8939404570525812,70,0.4,-0.0046360757641900775,-0.04526341306834658,-0.2011496271851556,0.8840286229874053,42,0.2857142857142857,-0.019916880445620302,-0.17966883527060173,-0.2696088785216183,0.7498210368868223
10,20,1.0,3,387,104,0.4230769230769231,0.005266256380772874,0.03534853307109875,-0.20614687016970634,1.1728077271032349,43,0.46511627906976744,0.004600387474763259,0.03737794338151268,-0.08820718822713591,1.0623488674999806,31,0.22580645161290322,-0.02590589399509746,-0.18020320475669682,-0.23098641810846887,0.7614370214282012
10,20,0.25,3,474,122,0.4180327868852459,0.005427778040470275,0.041641321509841456,-0.1767110182417988,1.2110045521781612,54,0.4444444444444444,0.0015033277644935002,0.008756197081149386,-0.11069034836450087,1.0203008557863062,35,0.2,-0.025626833002192064,-0.18866502411411312,-0.2554003686637216,0.7378963469372634
10,10,1.0,3,597,131,0.40458015267175573,0.0023928638019238917,0.014906163527400595,-0.22843472302954637,1.0719008648358586,56,0.39285714285714285,0.0002389303977074823,-0.0025450214407785055,-0.14951685635574596,0.9956420649933955,40,0.275,-0.02086778915305467,-0.18869027883051237,-0.2681785476395433,0.750645190795859
10,10,0.5,3,685,144,0.4166666666666667,-0.00018448908603915174,-0.009550072537241605,-0.26070110584771555,0.9559680700607003,65,0.4153846153846154,-0.00250339911348258,-0.02461844900685828,-0.19567557124002954,0.9358179585582985,42,0.2857142857142857,-0.021221526312361513,-0.19004095174565194,-0.2829960041391235,0.7360777860226358
20,20,0.25,1,474,33,0.45454545454545453,0.011211338493804663,0.04864281572967655,-0.2632964756797811,1.2496793172898595,17,0.23529411764705882,0.014154656139694329,0.05911679874876974,-0.1995645301851201,1.1415694372156142,13,0.3076923076923077,-0.022090014096782948,-0.1940495027347724,-0.30619735794699476,0.7303561767315387
20,20,0.5,1,451,33,0.45454545454545453,0.017207900467992525,0.09915358676890551,-0.1761517606148646,1.5583811679689659,16,0.25,0.0073679024923595515,0.016047424410897237,-0.15365426026087625,1.0373817215253323,13,0.3076923076923077,-0.022246530447612864,-0.1951646545598955,-0.3075951602896857,0.7288847300794862
