rule,train_n,train_win,train_avg,train_pf,train_payoff,valid_n,valid_win,valid_avg,valid_pf,valid_payoff,hold_n,hold_win,hold_avg,hold_pf,hold_payoff,selection_score
ema50_dist>=-0.00668662 AND vol_ratio>=0.81839,132,0.5,0.26511530811892925,1.5180874080581481,1.5180874080581481,64,0.46875,0.1504301407436739,1.2774862101648814,1.4478177048535326,40,0.475,0.17733647050901286,1.3935151337912983,1.5402009373482772,0.48379301407436737
mom126<=0.124227 AND stop_pct>=0.0312661,88,0.5,0.27235994899918237,1.5731018537495027,1.5731018537495025,44,0.4772727272727273,0.06375265562974597,1.1178551182707126,1.2243175104869708,26,0.2692307692307692,-0.3275317439947347,0.5494304095128272,1.4913111115348165,0.48364799283570187
spy_strength<=0.0941282 AND stop_pct>=0.0312661,136,0.5220588235294118,0.29841591402592677,1.6169697302412127,1.4803244009250538,77,0.4675324675324675,0.1599269832701854,1.3133565311275255,1.495767160450793,68,0.3382352941176471,-0.13476529394864775,0.7492097230643754,1.4658451103433432,0.4835251658594861
mom21<=-0.0317189 AND atr_pct>=0.0177109,96,0.5104166666666666,0.2651565248785143,1.554611865560075,1.4911583200270109,52,0.46153846153846156,0.21914842457578887,1.4237978848406967,1.6610975323141461,32,0.4375,0.0575034759787761,1.1244339178332126,1.4457007514998446,0.4834533039960405
ema20_dist<=0.00744233 AND ema50_dist>=-0.00668662,170,0.5117647058823529,0.2529733916407862,1.481552005952906,1.413434672345876,84,0.4642857142857143,0.18876449509232276,1.3496624188534043,1.5573027909846973,48,0.4375,0.09829117343631154,1.223379228354077,1.5729161507409564,0.4831621637949466
mom21<=-0.0103349 AND mom126<=0.205921,103,0.5048543689320388,0.21609487547183448,1.414848362807571,1.387639740445887,53,0.4716981132075472,0.11070574728789154,1.2165881683280888,1.3625787485274596,25,0.4,0.024813635222572607,1.037988564964185,1.5569828474462772,0.4827686879363363
mom21>=-0.0532065 AND qqq_strength<=0.0988458,81,0.5185185185185185,0.2479295078803144,1.4482398971051564,1.3447941901690739,34,0.47058823529411764,0.11260509254685072,1.2145166587298042,1.3663312410710298,42,0.3333333333333333,-0.16855911097520532,0.755056152192881,1.510112304385762,0.4818487445488027
mom63>=0.061588 AND close_location<=0.887837,96,0.5,0.26738009706304927,1.518005509085696,1.518005509085696,52,0.46153846153846156,0.1913985148022966,1.3442236839018418,1.5682609645521488,25,0.52,0.3353607325771156,2.0262076187185896,1.870345494201775,0.48067831301869124
close_location>=0.755275 AND qqq_strength<=0.0988458,86,0.5116279069767442,0.2195986895506101,1.4114112149380706,1.3472561597136128,34,0.47058823529411764,0.09349618088744685,1.1867372036392747,1.335079354094184,46,0.30434782608695654,-0.2968733009891826,0.5826162019511045,1.331694175888239,0.4799378533828623
mom126<=0.205921 AND body_pct>=0.310082,137,0.5182481751824818,0.2560186571795105,1.5125495700991793,1.4060319947400821,64,0.46875,0.10085573771526388,1.1914662635533861,1.350328432027171,34,0.38235294117647056,-0.06722033770121966,0.890111630380686,1.4378726336918775,0.4788355737715264
mom126<=0.363629 AND lower_wick<=0.478698,180,0.5055555555555555,0.23993077824262318,1.467815701251117,1.435556015509334,83,0.46987951807228917,0.08577570828182073,1.1559667456995375,1.3041676105328117,57,0.47368421052631576,0.1564451411239825,1.334937115069235,1.483263461188039,0.47845708890047123
rs63>=0.436461 AND stop_pct>=0.0518014,91,0.5054945054945055,0.22868146195001673,1.4731268327411633,1.4411023363772248,75,0.4666666666666667,0.10507762598182097,1.2003487680909526,1.3718271635325172,53,0.37735849056603776,-0.10418346825015372,0.7902683913894032,1.3039428457925153,0.47717442926484877
ema20_dist<=0.00744233 AND stop_pct>=0.0312661,172,0.5174418604651163,0.25630628727461424,1.5115660399890505,1.4096627114504627,91,0.46153846153846156,0.14560522355784347,1.2713677620931323,1.4832623891086545,53,0.37735849056603776,-0.056854377944771405,0.8845163897041447,1.459452043011839,0.47609898389424593
atr_pct>=0.0208043 AND ema20_dist<=0.00744233,123,0.5203252032520326,0.2701093622110682,1.5584046396053375,1.4366542771361706,78,0.46153846153846156,0.14370060826451087,1.2692069149292045,1.4807414007507387,52,0.38461538461538464,-0.04225360470305344,0.9130743517014869,1.460918962722379,0.47590852236491266
body_pct>=0.310082 AND close_location<=0.828223,75,0.5066666666666667,0.22731745877364848,1.4694981791523791,1.430827174437843,41,0.4634146341463415,0.11195141499175282,1.2034212836761613,1.3934351705723975,22,0.45454545454545453,0.022847405444807466,1.0443314737289298,1.2531977684747158,0.47460977564551676
rsi14<=52.9132 AND ema50_dist>=0.00165905,115,0.5391304347826087,0.30446696543733454,1.6076216345158214,1.3742572036990088,70,0.45714285714285713,0.1746408130135867,1.3089788219671277,1.554412351085964,40,0.375,-0.09751372397847884,0.8045538182991475,1.3409230304985793,0.4746069384442158
lower_wick<=0.266191 AND qqq_strength<=0.0988458,66,0.5151515151515151,0.1974222959886538,1.3616507763409451,1.2815536718503011,26,0.46153846153846156,0.12645572335367314,1.2367760785725697,1.4429054250013313,26,0.5,0.3181966090602195,1.7291287103956987,1.7291287103956987,0.4741840338738289
ema50_dist>=0.00165905 AND close_location>=0.828223,104,0.5192307692307693,0.27022204689986346,1.5274762812619422,1.4143298900573538,44,0.45454545454545453,0.18500123467512042,1.348589659034223,1.6183075908410676,35,0.3142857142857143,-0.19829755622734435,0.6473250365265664,1.4123455342397813,0.4730455780129666
body_pct>=0.310082 AND stop_pct<=0.0740393,176,0.5056818181818182,0.23890479198517645,1.4430603920040965,1.4106320685882745,81,0.4567901234567901,0.14423602467271263,1.269473910073376,1.5096446498169878,37,0.43243243243243246,0.06245190597840335,1.1141917237075474,1.4623766373661558,0.47121372592406136
ema20_dist<=0.00744233 AND lower_wick<=0.478698,179,0.5139664804469274,0.27119058628282966,1.5380122512844787,1.4544246289320615,91,0.46153846153846156,0.09654401014285724,1.1730975728289363,1.3686138349670924,51,0.43137254901960786,0.04075628560082438,1.0852785034800208,1.4305943909509367,0.4711928625527473
ema20_dist<=0.00134722 AND stop_pct<=0.0399671,75,0.5066666666666667,0.266755021564814,1.5010687801292184,1.4615669701258178,26,0.46153846153846156,0.08658385109572156,1.1471958060992686,1.3383951071158133,14,0.42857142857142855,-0.0052208157784486365,0.9929780880673064,1.323970784089742,0.47019684664803374
