ticker,signal_date,pa,osc,rsi14,mom21,mom63,mom126,rs63,atr_pct,ema20_dist,ema50_dist,vol_ratio,body_pct,lower_wick,close_location,spy_strength,qqq_strength,stop_pct,entry_date,exit_date,r,planned_rr,status
HPQ,2024-01-19,4,2,45.21835696193394,-0.037673430951478,0.0867998617317256,-0.0893464055361226,0.3945686900958466,0.0210231681341404,-0.0162560848630567,-0.0023977635945359,1.3333958218289974,0.4042562257650192,0.3617020844873774,0.7659583102523967,0.1007930822209735,0.1522603575359993,0.0328060126307377,2024-01-22,2024-02-05,-1.0609644342490463,1.7833187750059707,stop
DELL,2023-10-09,5,2,53.15621516699013,-0.0470920473964316,0.2136226848292453,0.6469453556387963,0.9680511182108626,0.0270035185540676,-0.0008138908378713,0.0597208316911432,1.2403901994217357,0.6438376923679847,0.1643822015520086,0.8082198939199933,0.0219269433078215,0.0705604475834327,0.047540640818529,2023-10-10,2023-11-06,1.555963224601769,1.598032493453957,target
ANET,2024-11-20,4,2,44.75857279941,-0.0374470602051117,0.0838798787546555,0.2060347281361079,0.554140127388535,0.0314951660034666,-0.0243825027034083,-0.0097649452233664,0.874750076172557,0.2238204419448128,0.6544490069822807,0.8782694489270935,0.096153894922021,0.0929033258825557,0.0632709389237794,2024-11-21,2024-12-04,1.492857052397611,1.5244671412317492,target
SMCI,2024-04-29,5,2,50.400990360403576,-0.1184914793145683,0.7962555984857884,2.718157806700333,0.9920127795527156,0.0882028066565687,0.0186718493535589,0.0324283317101845,0.9553565466913556,0.7569287622920584,0.1326653861033387,0.8895941483953972,0.0814859069992186,0.0830992436972657,0.2429830375813958,2024-04-30,2024-06-11,-0.5174552289120599,1.6295509428789323,time
GOOGL,2026-06-30,5,2,47.9697400889788,-0.0598320859768355,0.3074349497995801,0.1413835885330827,0.7977707006369427,0.0334418109120256,-0.003708667586192,-0.0031599275042085,0.8668662864435965,0.4257906910262741,0.4221412050357709,0.847931896062045,0.08771384962833,0.158967690743836,0.0819407129237699,2026-07-01,2026-07-10,-0.064932279926981,1.6330360531381038,time
NFLX,2025-08-08,4,2,52.097857828771325,-0.0311452730470902,0.058727931151653,0.1929347877116931,0.482484076433121,0.023204609821448,0.0129738726821684,0.0111596928142203,0.9635466960524804,0.8432130283083505,0.0835796190730309,0.9267926473813816,0.0920682190739332,0.1254650650559436,0.0593994825825831,2025-08-11,2025-09-22,0.1515979457001482,1.6701106473398633,time
VZ,2024-11-15,5,2,49.73453777885013,-0.0501708991050746,0.0382960189378673,0.0732010674399372,0.4506369426751592,0.0177843473901162,0.0043269580790821,-0.0051210453000375,1.0745636906266984,0.8762899166273368,0.0,0.8762899166273368,0.0904778293092445,0.0815605472989562,0.040174649255037,2024-11-18,2024-11-26,1.6045462712033964,1.6543289086896278,target
TMUS,2023-05-08,5,2,47.05670770148136,-0.0362946540174857,0.0155666233361333,-0.0269287396683891,0.6794871794871795,0.0163932889147329,-0.0057073149216921,-0.0081123416991332,0.8810431207981844,0.1132032014740486,0.8050325329648242,0.918235734438873,0.032585461962995,0.07162167397274,0.0302923533313397,2023-05-09,2023-05-18,-1.066023262640703,1.6279117813569106,stop
LYV,2023-08-04,4,3,40.8057660659591,-0.042666914652517,0.3080364359044973,0.0761777106181391,0.8605769230769231,0.0369669156482168,-0.0371460781639437,-0.0082095157172612,1.2154811751366688,0.2547944976411594,0.4520550235884058,0.7068495212295652,0.0742954955847892,0.1293355705514136,0.086099519576129,2023-08-07,2023-09-06,-1.023228933330245,1.697892242174843,stop
TSLA,2024-08-15,5,3,50.22704763505735,-0.1382696201623805,0.2307603461628826,0.1347569909969832,0.9522292993630572,0.0569015412723049,0.0081158475586256,0.0166384272700206,0.9883844462762832,0.8245928689289045,0.0180829107043326,0.8426757796332371,0.0930495279949565,0.0932023291271084,0.1438242215280601,2024-08-16,2024-09-27,1.609816887113109,1.9261747498099937,time
